iter	Passed	Remaining
1750	1384	196
1751	1385	196
1752	1385	195
1753	1386	194
1754	1387	193
1755	1388	192
1756	1388	192
1757	1389	191
1758	1390	190
1759	1391	189
1760	1391	188
1761	1392	188
1762	1393	187
1763	1393	186
1764	1394	185
1765	1395	184
1766	1396	184
1767	1396	183
1768	1397	182
1769	1398	181
1770	1399	180
1771	1399	180
1772	1400	179
1773	1401	178
1774	1402	177
1775	1403	176
1776	1404	176
1777	1406	175
1778	1407	174
1779	1408	174
1780	1409	173
1781	1410	172
1782	1411	171
1783	1411	170
1784	1412	170
1785	1413	169
1786	1414	168
1787	1414	167
1788	1415	166
1789	1416	166
1790	1417	165
1791	1418	164
1792	1419	163
1793	1419	163
1794	1420	162
1795	1422	161
1796	1422	160
1797	1423	159
1798	1424	159
1799	1425	158
1800	1426	157
1801	1427	156
1802	1427	156
1803	1428	155
1804	1429	154
1805	1430	153
1806	1431	152
1807	1432	152
1808	1433	151
1809	1433	150
1810	1434	149
1811	1435	148
1812	1436	148
1813	1437	147
1814	1438	146
1815	1439	145
1816	1440	145
1817	1440	144
1818	1441	143
1819	1442	142
1820	1443	141
1821	1444	141
1822	1445	140
1823	1446	139
1824	1446	138
1825	1447	137
1826	1448	137
1827	1449	136
1828	1450	135
1829	1450	134
1830	1451	133
1831	1452	133
1832	1453	132
1833	1453	131
1834	1454	130
1835	1455	130
1836	1456	129
1837	1457	128
1838	1458	127
1839	1458	126
1840	1459	126
1841	1460	125
1842	1461	124
1843	1462	123
1844	1462	122
1845	1463	122
1846	1464	121
1847	1464	120
1848	1465	119
1849	1466	118
1850	1467	118
1851	1468	117
1852	1468	116
1853	1469	115
1854	1470	114
1855	1471	114
1856	1472	113
1857	1472	112
1858	1473	111
1859	1474	110
1860	1475	110
1861	1475	109
1862	1476	108
1863	1477	107
1864	1478	106
1865	1478	106
1866	1479	105
1867	1480	104
1868	1481	103
1869	1481	103
1870	1482	102
1871	1483	101
1872	1484	100
1873	1485	99
1874	1485	99
1875	1486	98
1876	1487	97
1877	1488	96
1878	1489	95
1879	1489	95
1880	1490	94
1881	1491	93
1882	1491	92
1883	1492	91
